Hash,Asset Name,Type
xmodel_5977a9435063757,c_t8_zmb_mob_hero_richtofen_torso1_cst,Torso
xmodel_2876de5f4d2a4e0,c_t8_zmb_mob_hero_richtofen_lowerbody2,Lower Body
xmodel_fd4565398a78c01,c_t8_zmb_mob_hero_richtofen_lowerbody1_cst,Lower Body
xmodel_8f0588b2803dde5,c_t8_zmb_ofc_hero_richtofen_lowerbody1_cst,Lower Body
xmodel_7194ed19557fcba,c_t8_zmb_mob_hero_dempsey_lowerbody1_cst,Lower Body
xmodel_187a5d4d315bdf8,c_t8_zmb_mob_hero_nikolai_lowerbody1_cst,Lower Body
xmodel_ee255b7aead7504,uknown,unknown
